Filename,Class/Function/Task Name,Type,Brief Description,Line Number Range
README.md,Directory Documentation,documentation,"Overview of index.directory structure and contents",1-500
add-note.html,Add Note Page,page,"Form for creating and uploading markdown notes with rich text editing",1-577
add-pdf.html,Add PDF Page,page,"Form for uploading and indexing PDF documents with metadata",1-348
add-trade.html,Add Trade Page,page,"Trade entry form with P&L calculations and image upload",1-295
all-trades.html,All Trades Page,page,"Paginated view of all trading history with filtering",1-126
all-weeks.html,All Summaries Page,page,"Weekly trade summaries with performance metrics",1-828
analytics.html,Analytics Page,page,"Detailed analytics dashboard with charts and statistics",1-242
books.html,Books Page,page,"Book library with PDF viewer and search functionality",1-332
import.html,Import Trades Page,page,"CSV import tool supporting multiple broker formats (IBKR Schwab Robinhood Webull)",1-276
notes.html,Notes Page,page,"Note library with markdown rendering and search",1-322
review.html,Review Trades Page,page,"Trade review interface for editing and analyzing past trades",1-1239
assets/css/glass-effects.css,Glass Effects Stylesheet,stylesheet,"Glassmorphism effects and gradient backgrounds",1-455
assets/css/glowing-bubbles.css,Glowing Bubbles Stylesheet,stylesheet,"Animated floating navigation bubbles with glassmorphism",1-627
assets/css/import.css,Import Page Stylesheet,stylesheet,"Styles for CSV import and validation interface",1-142
assets/css/main.css,Main Stylesheet,stylesheet,"Core application styles including typography layout and components",1-1160
assets/css/modals.css,Modals Stylesheet,stylesheet,"Modal dialog styles for overlays and popups",1-272
assets/css/review-trades.css,Review Trades Stylesheet,stylesheet,"Styles for trade review and editing interface",1-110
assets/js/accountManager.js,AccountManager,class,"Manages starting balance deposits withdrawals and portfolio value calculations",7-325
assets/js/accountManager.js,AccountManager.init,method,"Initialize account manager and load configuration",18-28
assets/js/accountManager.js,AccountManager.loadConfig,method,"Load account configuration from JSON file with fallback defaults",51-89
assets/js/accountManager.js,AccountManager.saveConfig,method,"Save account config to localStorage and commit to repository via GitHub API",96-125
assets/js/accountManager.js,AccountManager.commitConfigToRepo,method,"Commit account-config.json to repository using GitHub API",131-280
assets/js/accountManager.js,AccountManager.updateDisplay,method,"Update all account-related UI elements with current values",282-325
assets/js/analytics.js,initAnalytics,function,"Initialize analytics page with charts and event listeners",38-52
assets/js/analytics.js,loadAnalyticsData,function,"Load analytics data from JSON file with fallback to mock data",54-79
assets/js/analytics.js,setupAnalyticsEventListeners,function,"Setup event listeners for reactive updates via EventBus",81-116
assets/js/analytics.js,updateMetrics,function,"Update analytics metrics display with statistics",118-179
assets/js/analytics.js,renderStrategyChart,function,"Render performance by strategy bar chart using Chart.js",181-210
assets/js/analytics.js,renderSetupChart,function,"Render performance by setup bar chart using Chart.js",212-241
